Player Full Name,Birth Date,Year Start,Year End,Position,Height (ft 1/2),Height (inches 2/2),Height (in cm),Wingspan (in cm),Standing Reach (in cm),Hand Length (in inches),Hand Width (in inches),Weight (in lb),Body Fat (%),College
Dana Barros,4/13/67,1990,2004,G,5,11,180.3,,,,,163,,Boston College
Dana Pagett,3/29/49,1972,1972,G,6,2,188.0,,,,,180,,University of Southern California
Dane Suttle,8/9/61,1984,1985,G,6,3,190.5,,,,,190,,Pepperdine University
D'Angelo Russell,2/23/96,2016,2018,G,6,5,195.6,,,,,195,,Ohio State University
Daniel Ewing,3/26/83,2006,2007,G,6,3,190.5,,,,,185,,Duke University
Daniel Gibson,2/27/86,2007,2013,G,6,2,188.0,,,,,190,,University of Texas at Austin
Daniel Hamilton,8/8/95,2018,2018,G-F,6,7,200.7,205.7,262.9,9,8.5,195,6.0%,University of Connecticut
Daniel Ochefu,12/15/93,2017,2017,C,6,11,210.8,,,,,245,,Villanova University
Daniel Orton,8/6/90,2012,2014,C-F,6,10,208.3,224.2,280.7,8.5,9.75,255,13.8%,University of Kentucky
Daniel Santiago,6/24/76,2001,2005,C,7,1,215.9,,,,,256,,Saint Vincent College
Daniel Sparks,4/17/45,1969,1970,F,6,8,203.2,,,,,200,,Weber State University
Daniel Theis,4/4/92,2018,2018,C,6,9,205.7,,,,,215,,
Danilo Gallinari,8/8/88,2009,2018,F,6,10,208.3,,,,,225,,
Danny Ainge,3/17/59,1982,1995,G,6,4,193.0,,,,,175,,Brigham Young University
Danny Doyle,2/6/40,1963,1963,F,6,8,203.2,,,,,200,,Belmont Abbey College
Danny Ferry,10/17/66,1991,2003,F,6,10,208.3,,,,,230,,Duke University
Danny Finn,5/29/28,1953,1955,G,6,1,185.4,,,,,185,,St. John's University
Danny Fortson,3/27/76,1998,2007,F,6,7,200.7,,,,,260,,University of Cincinnati
Danny Granger,4/20/83,2006,2015,F,6,9,205.7,217.2,261.6,,,222,,University of New Mexico
Danny Green,6/22/87,2010,2018,G-F,6,6,198.1,208.3,261.6,,,215,5.6%,University of North Carolina
Danny Manning,5/17/66,1989,2003,F-C,6,10,208.3,,,,,230,,University of Kansas
Danny Schayes,5/10/59,1982,1999,C-F,6,11,210.8,,,,,235,,Syracuse University
Danny Vranes,10/29/58,1982,1988,F,6,7,200.7,,,,,210,,University of Utah
Danny Wagner,8/1/22,1950,1950,G,6,0,182.9,,,,,170,,University of Texas at Austin
Danny Young,7/26/62,1985,1995,G,6,3,190.5,,,,,175,,Wake Forest University
Dante Cunningham,4/22/87,2010,2018,F,6,8,203.2,210.8,270.5,,,230,4.8%,Villanova University
Dante Exum,7/13/95,2015,2017,G,6,6,198.1,207.0,261.6,8.5,9.5,190,6.4%,
Danuel House,6/7/93,2017,2018,G,6,7,200.7,,,,,207,,Texas A&M University
Darel Carrier,10/26/40,1968,1973,G,6,3,190.5,,,,,185,,Western Kentucky University
Darington Hobson,9/29/87,2012,2012,G,6,7,200.7,206.4,265.4,8.25,9,210,6.2%,University of New Mexico
Dario Saric,4/8/94,2017,2018,F,6,10,208.3,,,,,223,,
Darius Johnson-Odom,9/28/89,2013,2014,G,6,2,188.0,200.7,243.8,8.75,8.75,215,7.0%,Marquette University
Darius Miles,10/9/81,2001,2009,F,6,9,205.7,,,,,210,,
Darius Miller,3/21/90,2013,2018,F,6,8,203.2,205.7,256.5,8.5,8.75,235,7.5%,University of Kentucky
Darius Morris,1/3/91,2012,2015,G,6,4,193.0,201.9,259.1,8.75,10,190,5.3%,University of Michigan
Darius Songaila,2/14/78,2004,2011,F,6,9,205.7,215.9,275.6,,,248,,Wake Forest University
Darius Washington,12/6/85,2008,2008,G,6,2,188.0,193.0,243.8,,,195,9.7%,University of Memphis
Darko Milicic,6/20/85,2004,2013,F-C,7,0,213.4,226.1,283.2,,,250,8.0%,
Darnell Hillman,8/29/49,1972,1980,F-C,6,9,205.7,,,,,215,,San Jose State University
Darnell Jackson,11/7/85,2009,2011,F,6,9,205.7,211.5,270.5,,,253,12.5%,University of Kansas
Darnell Mee,2/11/71,1994,1995,G,6,5,195.6,,,,,175,,Western Kentucky University
Darnell Valentine,2/3/59,1982,1991,G,6,1,185.4,,,,,183,,University of Kansas
Darrall Imhoff,10/11/38,1961,1972,C,6,10,208.3,,,,,220,,University of California
Darrell Allums,9/12/58,1981,1981,F,6,9,205.7,,,,,220,,"University of California, Los Angeles"
Darrell Armstrong,6/22/68,1995,2008,G,6,0,182.9,,,,,170,,Fayetteville State University
Darrell Arthur,3/25/88,2009,2018,F,6,9,205.7,210.2,271.8,,,235,7.3%,University of Kansas
Darrell Brown,3/14/23,1949,1949,F,6,2,188.0,,,,,175,,Humboldt State University
Darrell Elston,8/15/52,1975,1977,G,6,4,193.0,,,,,190,,University of North Carolina
Darrell Griffith,6/16/58,1981,1991,G,6,4,193.0,,,,,190,,University of Louisville
Darrell Hardy,12/31/99,1968,1968,F,6,7,200.7,,,,,220,,Baylor University
Darrell Lockhart,9/14/60,1984,1984,C,6,9,205.7,,,,,245,,Auburn University
Darrell Walker,3/9/61,1984,1993,G,6,4,193.0,,,,,180,,University of Arkansas
Darren Collison,8/23/87,2010,2018,G,6,0,182.9,190.5,245.1,,,175,5.7%,"University of California, Los Angeles"
Darren Daye,11/30/60,1984,1988,F-G,6,8,203.2,,,,,220,,"University of California, Los Angeles"
Darren Morningstar,4/22/69,1994,1994,C,6,10,208.3,,,,,235,,University of Pittsburgh
Darren Tillis,2/23/60,1983,1984,C-F,6,11,210.8,,,,,215,,Cleveland State University
Darrick Martin,3/6/71,1995,2008,G,5,11,180.3,,,,,170,,"University of California, Los Angeles"
Darrin Hancock,11/3/71,1995,1997,G-F,6,7,200.7,,,,,205,,University of Kansas
Darrun Hilliard,4/13/93,2016,2018,G,6,6,198.1,,,,,205,,Villanova University
Darryl Dawkins,1/11/57,1976,1989,C,6,11,210.8,,,,,251,,
Darryl Johnson,10/26/65,1996,1996,G,6,1,185.4,,,,,170,,Michigan State University
Darryl Watkins,11/8/84,2008,2012,C,6,11,210.8,221.0,279.4,,,258,6.9%,Syracuse University
Darvin Ham,7/23/73,1997,2005,F,6,7,200.7,,,,,220,,Texas Tech University
Darwin Cook,8/6/58,1981,1989,G,6,3,190.5,,,,,184,,University of Portland
Dave Batton,3/26/56,1983,1984,C,6,10,208.3,,,,,240,,University of Notre Dame
Dave Bing,11/24/43,1967,1978,G,6,3,190.5,,,,,180,,Syracuse University
Dave Britton,8/29/58,1981,1981,G,6,4,193.0,,,,,180,,Texas A&M University
Dave Budd,10/28/38,1961,1965,F,6,6,198.1,,,,,205,,Wake Forest University
Dave Corzine,4/25/56,1979,1991,C,6,11,210.8,,,,,250,,DePaul University
Dave Cowens,10/25/48,1971,1983,C-F,6,9,205.7,,,,,230,,Florida State University
Dave DeBusschere,10/16/40,1963,1974,F-G,6,6,198.1,,,,,220,,University of Detroit Mercy
Dave Deutsch,5/13/45,1967,1967,G,6,1,185.4,,,,,170,,University of Rochester
Dave Fedor,12/10/40,1963,1963,F,6,6,198.1,,,,,190,,Florida State University
Dave Feitl,6/8/62,1987,1992,C,6,11,210.8,,,,,235,,University of Texas at El Paso
Dave Gambee,4/16/37,1959,1970,F,6,6,198.1,,,,,215,,Oregon State University
Dave Greenwood,5/27/57,1980,1991,F-C,6,9,205.7,,,,,222,,"University of California, Los Angeles"
Dave Gunther,7/22/37,1963,1963,F,6,7,200.7,,,,,190,,University of Iowa
Dave Henderson,7/21/64,1988,1988,G,6,5,195.6,,,,,195,,Duke University
Dave Hoppen,3/13/64,1988,1993,C-F,6,11,210.8,,,,,235,,University of Nebraska
Dave Jamerson,8/13/67,1991,1994,G-F,6,5,195.6,,,,,190,,Ohio University
Dave Johnson,11/16/70,1993,1994,G-F,6,7,200.7,,,,,210,,Syracuse University
Dave Lattin,12/23/43,1968,1973,F-C,6,6,198.1,,,,,225,,University of Texas at El Paso
Dave Magley,11/24/59,1983,1983,F,6,8,203.2,,,,,202,,University of Kansas
Dave Meyers,4/21/53,1976,1980,F-C,6,8,203.2,,,,,215,,"University of California, Los Angeles"
Dave Minor,2/23/22,1952,1953,G-F,6,2,188.0,,,,,185,,"University of California, Los Angeles"
Dave Newmark,9/11/46,1969,1971,C,7,0,213.4,,,,,240,,Columbia University
Dave Piontek,8/27/34,1957,1963,F-C,6,6,198.1,,,,,230,,Xavier University
Dave Popson,5/17/64,1989,1992,F-C,6,10,208.3,,,,,220,,University of North Carolina
Dave Robisch,12/22/49,1972,1984,C-F,6,10,208.3,,,,,235,,University of Kansas
Dave Schellhase,10/14/44,1967,1968,G,6,3,190.5,,,,,205,,Purdue University
Dave Scholz,4/12/48,1970,1970,F,6,8,203.2,,,,,220,,University of Illinois at Urbana-Champaign
Dave Sorenson,7/8/48,1971,1973,F,6,8,203.2,,,,,225,,Ohio State University
Dave Stallworth,12/20/41,1966,1975,F-C,6,7,200.7,,,,,200,,Wichita State University
Dave Twardzik,9/20/50,1973,1980,G,6,1,185.4,,,,,175,,Old Dominion University
Dave Wohl,11/2/49,1972,1978,G,6,2,188.0,,,,,185,,University of Pennsylvania
Dave Zeller,6/8/39,1962,1962,G,6,1,185.4,,,,,175,,Miami University
David Andersen,6/23/80,2010,2011,C,6,11,210.8,,,,,245,,
David Benoit,5/9/68,1992,2001,F,6,8,203.2,,,,,220,,University of Alabama
David Burns,7/3/58,1982,1982,G,6,2,188.0,,,,,180,,Saint Louis University
David Bustion,8/30/49,1973,1973,F,6,8,203.2,,,,,215,,University of Denver
David Cooke,9/27/63,1986,1986,F,6,8,203.2,,,,,230,,Saint Mary's College of California
David Gaines,2/27/42,1968,1968,G,6,1,185.4,,,,,170,,LeMoyne-Owen College
David Harrison,8/15/82,2005,2008,C,7,0,213.4,,,,,280,,University of Colorado
David Lee,3/31/42,1968,1969,F,6,7,200.7,213.4,270.5,,,225,,University of San Francisco
David Lee,3/31/42,2006,2017,F,6,9,205.7,213.4,270.5,,,245,,University of Florida
David Noel,2/27/84,2007,2007,F,6,6,198.1,207.0,254.0,,,230,6.1%,University of North Carolina
David Nwaba,1/14/93,2017,2018,G,6,4,193.0,,,,,209,,"California Polytechnic State University, San Luis Obispo"
David Pope,4/15/62,1985,1986,F,6,7,200.7,,,,,220,,Norfolk State University
David Rivers,1/20/65,1989,1992,G,6,0,182.9,,,,,170,,University of Notre Dame
David Robinson,8/6/65,1990,2003,C,7,1,215.9,,,,,235,,United States Naval Academy
David Stockton,6/24/91,2015,2015,G,5,11,180.3,,,,,165,,Gonzaga University
David Thirdkill,4/12/60,1983,1987,F-G,6,7,200.7,,,,,195,,Bradley University
David Thompson,7/13/54,1976,1984,G-F,6,4,193.0,,,,,195,,North Carolina State University
David Vanterpool,3/31/73,2001,2001,G,6,5,195.6,,,,,200,,St. Bonaventure University
David Vaughn,6/4/52,1975,1976,C,6,11,210.8,,,,,220,,Oral Roberts University
David Vaughn,6/4/52,1996,1999,F,6,9,205.7,,,,,240,,University of Memphis
David Wear,9/21/90,2015,2015,F,6,10,208.3,,,,,230,,"University of California, Los Angeles"
David Wesley,11/14/70,1994,2007,G,6,0,182.9,,,,,190,,Baylor University
David West,8/29/80,2004,2018,F,6,9,205.7,224.2,275.0,,,250,8.0%,Xavier University
David Wingate,12/15/63,1987,2001,G-F,6,5,195.6,,,,,185,,Georgetown University
David Wood,11/30/64,1989,1997,F,6,9,205.7,,,,,227,,"University of Nevada, Reno"
Davis Bertans,11/12/92,2017,2018,F,6,10,208.3,,,,,210,,
De'Aaron Fox,12/20/97,2018,2018,G,6,3,190.5,,,,,170,,University of Kentucky
Dean Garrett,11/27/66,1997,2002,C,6,10,208.3,,,,,225,,Indiana University
Dean Meminger,5/13/48,1972,1977,G,6,0,182.9,,,,,175,,Marquette University
Dean Oliver,11/5/78,2002,2003,G,5,11,180.3,,,,,180,,University of Iowa
Dean Tolson,11/25/51,1975,1978,F,6,8,203.2,,,,,190,,University of Arkansas
DeAndre' Bembry,7/4/94,2017,2018,F,6,6,198.1,,,,,210,,Saint Joseph's University
DeAndre Jordan,7/21/88,2009,2018,C,6,11,210.8,228.6,288.3,,,265,7.5%,Texas A&M University
DeAndre Liggins,3/31/88,2012,2018,G,6,6,198.1,210.8,262.9,8.75,10,209,5.0%,University of Kentucky
Deb Smith,1/7/20,1947,1947,F,6,3,190.5,,,,,180,,University of Utah
Dedric Willoughby,5/27/74,2000,2000,G-F,6,3,190.5,,,,,180,,Iowa State University
Dee Brown,11/29/68,1991,2002,G,6,1,185.4,188.0,238.8,,,160,,Jacksonville University
Dee Brown,11/29/68,2007,2009,G,6,0,182.9,188.0,238.8,,,185,,University of Illinois at Urbana-Champaign
Dee Gibson,8/25/23,1950,1950,F-G,5,11,180.3,,,,,175,,Western Kentucky University
Dejounte Murray,9/19/96,2017,2018,G,6,5,195.6,,,,,170,,University of Washington
DeJuan Blair,4/22/89,2010,2016,F-C,6,7,200.7,218.4,270.5,,,270,12.0%,University of Pittsburgh
DeJuan Wheat,10/14/73,1998,1999,G,6,0,182.9,,,,,165,,University of Louisville
Del Beshore,11/29/56,1979,1980,G,5,11,180.3,,,,,165,,California University of Pennslyvania
Delaney Rudd,11/8/62,1990,1993,G,6,2,188.0,,,,,180,,Wake Forest University
Dell Curry,6/25/64,1987,2002,G,6,4,193.0,,,,,190,,Virginia Polytechnic Institute and State University
Dell Demps,2/12/70,1994,1997,G,6,3,190.5,,,,,205,,University of the Pacific
Delon Wright,4/26/92,2016,2018,G,6,5,195.6,201.9,257.8,8,8.5,183,6.6%,University of Utah
Delonte West,7/26/83,2005,2012,G,6,4,193.0,198.1,252.7,,,180,6.7%,Saint Joseph's University
DeMar DeRozan,8/7/89,2010,2018,G-F,6,7,200.7,205.7,260.4,,,221,4.9%,University of Southern California
DeMarco Johnson,10/6/75,2000,2000,F,6,9,205.7,,,,,245,,University of North Carolina at Charlotte
DeMarcus Cousins,8/13/90,2011,2018,C-F,6,11,210.8,228.0,287.0,9.25,10,270,16.4%,University of Kentucky
DeMarcus Nelson,11/2/85,2009,2009,G,6,4,193.0,208.3,250.2,,,200,4.5%,Duke University
DeMarre Carroll,7/27/86,2010,2018,F,6,8,203.2,208.3,266.7,,,215,6.3%,University of Missouri
Demetris Nichols,9/4/84,2008,2009,F,6,8,203.2,214.0,266.7,,,216,6.2%,Syracuse University
Demetrius Calip,11/18/69,1992,1992,G,6,1,185.4,,,,,165,,University of Michigan
Demetrius Jackson,9/7/94,2017,2018,G,6,1,185.4,196.9,236.2,8.25,9,201,6.5%,University of Notre Dame
Deng Gai,3/22/82,2006,2006,F,6,9,205.7,224.8,280.7,,,250,,Fairfield University
Dennis Awtrey,2/22/48,1971,1982,C,6,10,208.3,,,,,235,,Santa Clara University
Dennis Bell,6/2/51,1974,1976,F,6,5,195.6,,,,,185,,Drake University
Dennis Boyd,5/21/54,1979,1979,G,6,1,185.4,,,,,175,,University of Detroit Mercy
Dennis DuVal,3/31/52,1975,1976,G,6,3,190.5,,,,,175,,Syracuse University
Dennis Grey,8/26/47,1969,1970,C-F,6,8,203.2,,,,,215,,California Western Uiversity
Dennis Hamilton,5/8/44,1968,1971,F,6,8,203.2,,,,,210,,Arizona State University
Dennis Holman,10/8/45,1968,1968,G,6,3,190.5,,,,,175,,Southern Methodist University
Dennis Hopson,4/22/65,1988,1992,G-F,6,5,195.6,,,,,200,,Ohio State University
Dennis Horner,2/5/88,2012,2012,F,6,9,205.7,,,,,230,,North Carolina State University
Dennis Johnson,9/18/54,1977,1990,G,6,4,193.0,,,,,185,,Pepperdine University
Dennis Nutt,3/25/63,1987,1987,G,6,2,188.0,,,,,170,,Texas Christian University
Dennis Rodman,5/13/61,1987,2000,F,6,7,200.7,,,,,210,,Southeastern Oklahoma State University
Dennis Schroder,9/15/93,2014,2018,G,6,1,185.4,202.6,248.9,8.75,10.5,172,4.1%,
Dennis Scott,9/5/68,1991,2000,F,6,8,203.2,,,,,229,,Georgia Institute of Technology
Dennis Smith,11/25/97,2018,2018,G,6,3,190.5,,,,,195,,North Carolina State University
Dennis Stewart,4/11/47,1971,1971,F,6,6,198.1,,,,,220,,University of Michigan
Dennis Van Zant,6/1/52,1976,1976,F,6,9,205.7,,,,,210,,Azusa Pacific University
Dennis Wuycik,3/29/50,1973,1975,F,6,6,198.1,,,,,215,,University of North Carolina
Denzel Valentine,11/16/93,2017,2018,G,6,6,198.1,210.2,259.1,8.5,9.75,212,9.2%,Michigan State University
DeQuan Jones,6/20/90,2013,2013,F,6,8,203.2,,,,,221,,University of Miami
Derek Anderson,7/18/74,1998,2008,G,6,5,195.6,,,,,194,,University of Kentucky
Derek Fisher,8/9/74,1997,2014,G,6,1,185.4,,,,,200,,University of Arkansas at Little Rock
Derek Grimm,8/3/74,1998,1998,F,6,9,205.7,,,,,230,,University of Missouri
Derek Harper,10/13/61,1984,1999,G,6,4,193.0,,,,,185,,University of Illinois at Urbana-Champaign
Derek Hood,12/22/76,2000,2000,F,6,8,203.2,,,,,222,,University of Arkansas
Derek Smith,11/1/61,1983,1991,G-F,6,6,198.1,,,,,205,,University of Louisville
Derek Strong,2/9/68,1992,2001,F,6,8,203.2,,,,,220,,Xavier University
DerMarr Johnson,5/5/80,2001,2008,F,6,9,205.7,,,,,201,,University of Cincinnati
Dermie O'Connell,4/13/28,1949,1950,G,6,0,182.9,,,,,174,,College of the Holy Cross
Deron Williams,6/26/84,2006,2017,G,6,3,190.5,198.8,248.9,,,200,,University of Illinois at Urbana-Champaign
Derrek Dickey,3/20/51,1974,1978,F,6,7,200.7,,,,,218,,University of Cincinnati
Derrick Alston,8/20/72,1995,1997,F,6,11,210.8,,,,,225,,Duquesne University
Derrick Brown,9/8/87,2010,2012,F,6,7,200.7,219.7,273.1,,,225,8.6%,Xavier University
Derrick Byars,4/25/84,2012,2012,F,6,7,200.7,,,,,220,,Vanderbilt University
Derrick Caracter,5/4/88,2011,2011,F,6,9,205.7,214.0,273.1,9,10.25,275,12.8%,University of Texas at El Paso
Derrick Chievous,7/3/67,1989,1991,F,6,7,200.7,,,,,195,,University of Missouri
Derrick Coleman,6/21/67,1991,2005,F,6,10,208.3,,,,,230,,Syracuse University
Derrick Dial,12/20/75,2000,2004,G,6,4,193.0,,,,,184,,Eastern Michigan University
Derrick Favors,7/15/91,2011,2018,F-C,6,10,208.3,223.5,279.4,8.75,9.25,265,6.5%,Georgia Institute of Technology
Derrick Gervin,3/28/63,1990,1991,F,6,8,203.2,,,,,200,,University of Texas at San Antonio
Derrick Jones,2/15/97,2017,2018,F,6,7,200.7,,,,,190,,"University of Nevada, Las Vegas"
Derrick McKey,10/10/66,1988,2002,F-C,6,9,205.7,,,,,205,,University of Alabama
Derrick Phelps,7/31/72,1995,1995,G,6,4,193.0,,,,,181,,University of North Carolina
Derrick Rose,10/4/88,2009,2018,G,6,3,190.5,203.2,250.2,,,190,4.6%,University of Memphis
Derrick Rowland,6/21/59,1986,1986,G,6,5,195.6,,,,,195,,State University of New York at Potsdam
Derrick Walton,4/3/95,2018,2018,G,6,1,185.4,,,,,189,,University of Michigan
Derrick White,7/2/94,2018,2018,G,6,5,195.6,201.9,257.8,8.25,8.5,190,6.2%,University of Colorado
Derrick Williams,5/25/91,2012,2017,F,6,8,203.2,217.2,274.3,9,9.75,240,10.8%,University of Arizona
Derrick Zimmerman,12/2/81,2006,2006,G,6,3,190.5,205.7,244.5,,,195,5.3%,Mississippi State University
DeSagana Diop,1/30/82,2002,2013,C,7,0,213.4,229.9,287.0,,,300,21.0%,
DeShawn Stevenson,4/3/81,2001,2013,G,6,5,195.6,,,,,210,,
Desmon Farmer,10/7/81,2007,2009,G,6,5,195.6,204.5,261.6,,,220,5.3%,University of Southern California
Desmond Ferguson,7/22/77,2004,2004,G-F,6,7,200.7,,,,,203,,University of Detroit Mercy
Desmond Mason,10/11/77,2001,2010,F,6,7,200.7,,,,,224,,Oklahoma State University
Desmond Penigar,7/16/81,2004,2004,F,6,7,200.7,,,,,245,,Utah State University
Detlef Schrempf,1/21/63,1986,2001,F-C,6,9,205.7,,,,,214,,University of Washington
Devean George,8/29/77,2000,2010,G-F,6,8,203.2,,,,,220,,Augsburg College
Devin Booker,10/30/96,2016,2018,G,6,6,198.1,203.8,260.4,8.75,9,206,8.3%,University of Kentucky
Devin Brown,12/30/78,2003,2010,G,6,5,195.6,,,,,220,,University of Texas at San Antonio
Devin Durrant,10/20/60,1985,1986,F,6,7,200.7,,,,,200,,Brigham Young University
Devin Ebanks,10/28/89,2011,2013,F,6,9,205.7,214.0,273.1,8.25,9,215,7.9%,West Virginia University
Devin Gray,5/31/72,1997,2000,F,6,7,200.7,,,,,240,,Clemson University
Devin Green,10/25/82,2006,2006,G,6,7,200.7,,,,,210,,Hampton University
Devin Harris,2/27/83,2005,2018,G,6,3,190.5,201.9,250.2,,,192,5.3%,University of Wisconsin
Devyn Marble,9/21/92,2015,2016,G-F,6,6,198.1,205.7,259.1,8.25,8.5,200,6.9%,University of Iowa
Dewayne Dedmon,8/12/89,2014,2018,C,7,0,213.4,223.5,276.9,9,11,245,8.4%,University of Southern California
DeWayne Scales,12/28/58,1981,1984,F,6,8,203.2,,,,,208,,Louisiana State University
Dewitt Menyard,5/24/44,1968,1968,C,6,10,208.3,,,,,210,,University of Utah
Dexter Boney,4/27/70,1997,1997,G,6,4,193.0,,,,,185,,"University of Nevada, Las Vegas"
Dexter Cambridge,1/29/70,1993,1993,F,6,7,200.7,,,,,224,,University of Texas at Austin
Dexter Pittman,3/2/88,2011,2014,C,6,11,210.8,228.6,281.9,10.25,10.5,308,20.8%,University of Texas at Austin
Dexter Shouse,3/24/63,1990,1990,G,6,2,188.0,,,,,200,,University of South Alabama
Dexter Westbrook,12/31/99,1968,1968,F,6,8,203.2,,,,,190,,Providence College
Deyonta Davis,12/2/96,2017,2018,F-C,6,11,210.8,219.7,275.6,9,9.25,237,9.7%,Michigan State University
Diamond Stone,2/10/97,2017,2017,C,6,11,210.8,220.3,275.6,8.5,7.75,255,12.9%,University of Maryland
Diante Garrett,11/3/88,2013,2014,G,6,4,193.0,,,,,190,,Iowa State University
Dick Atha,9/21/31,1956,1958,G,6,2,188.0,,,,,190,,Indiana State University
Dick Barnett,10/2/36,1960,1974,G-F,6,4,193.0,,,,,190,,Tennessee State University
Dick Bunt,7/13/30,1953,1953,G,6,0,182.9,,,,,170,,New York University
Dick Cunningham,7/11/46,1969,1975,C,6,10,208.3,,,,,245,,Murray State University
Dick Dickey,10/26/26,1952,1952,G,6,1,185.4,,,,,175,,North Carolina State University
Dick Duckett,3/25/33,1958,1958,G,6,1,185.4,,,,,185,,St. John's University
Dick Farley,4/13/32,1955,1959,G-F,6,4,193.0,,,,,190,,Indiana University
Dick Fitzgerald,11/18/20,1947,1948,F,6,2,188.0,,,,,175,,Fordham University
Dick Garmaker,10/29/32,1956,1961,G-F,6,3,190.5,,,,,200,,University of Minnesota
Dick Garrett,1/31/47,1970,1974,G,6,3,190.5,,,,,185,,Southern Illinois University
Dick Gibbs,12/20/48,1972,1976,F-G,6,5,195.6,,,,,210,,University of Texas at El Paso
Dick Groat,11/4/30,1953,1953,G,5,11,180.3,,,,,180,,Duke University
Dick Grubar,7/26/47,1970,1970,G,6,4,193.0,,,,,184,,University of North Carolina
Dick Hemric,8/29/33,1956,1957,F,6,6,198.1,,,,,220,,Wake Forest University
Dick Holub,10/29/21,1948,1948,C,6,6,198.1,,,,,205,,Long Island University
Dick Knostman,8/9/31,1954,1954,C,6,6,198.1,,,,,215,,Kansas State University
Dick Lee,12/31/99,1968,1968,F,6,6,198.1,,,,,,,University of Washington
Dick McGuire,1/25/26,1950,1960,G,6,0,182.9,,,,,180,,St. John's University
Dick Mehen,5/20/22,1950,1952,F-C,6,5,195.6,,,,,195,,University of Tennessee
Dick Miller,4/26/58,1981,1981,F,6,6,198.1,,,,,215,,University of Toledo
Dick Murphy,3/10/21,1947,1947,G,6,1,185.4,,,,,175,,Manhattan College
Dick Nemelka,10/1/43,1971,1971,G,6,0,182.9,,,,,175,,Brigham Young University
Dick O'Keefe,9/29/23,1948,1951,G-F,6,2,188.0,,,,,185,,Santa Clara University
Dick Ricketts,12/4/33,1956,1958,F-C,6,7,200.7,,,,,215,,Duquesne University
Dick Rosenthal,1/20/30,1955,1957,F-G,6,5,195.6,,,,,205,,University of Notre Dame
Dick Schnittker,5/27/28,1951,1958,F,6,5,195.6,,,,,200,,Ohio State University
Dick Schulz,1/3/17,1947,1950,F-G,6,2,188.0,,,,,192,,University of Wisconsin
Dick Shrider,2/7/23,1949,1949,G,6,2,188.0,,,,,190,,Ohio University
Dick Snyder,2/1/44,1967,1979,G-F,6,5,195.6,,,,,207,,Davidson College
Dick Surhoff,11/16/29,1953,1954,F,6,4,193.0,,,,,210,,Long Island University
Dick Triptow,11/3/22,1949,1950,G-F,6,0,182.9,,,,,170,,DePaul University
Dick Van Arsdale,2/22/43,1966,1977,G-F,6,5,195.6,,,,,210,,Indiana University
Dick Wehr,12/9/25,1949,1949,F,6,4,193.0,,,,,180,,Rice University
Dickey Simpkins,4/6/72,1995,2002,F,6,9,205.7,,,,,248,,Providence College
Didier Ilunga-Mbenga,12/30/80,2005,2011,C,7,0,213.4,,,,,245,,
Dijon Thompson,2/23/83,2006,2007,G-F,6,7,200.7,207.6,268.0,,,195,,"University of California, Los Angeles"
Dike Eddleman,12/27/22,1950,1953,F-G,6,3,190.5,,,,,189,,University of Illinois at Urbana-Champaign
Dikembe Mutombo,6/25/66,1992,2009,C,7,2,218.4,,,,,245,,Georgetown University
Dillard Crocker,1/19/25,1949,1953,F-G,6,4,193.0,,,,,205,,Western Michigan University
Dillon Brooks,1/22/96,2018,2018,G-F,6,6,198.1,198.1,255.3,8.25,9.25,220,7.5%,University of Oregon
Dino Martin,5/25/20,1947,1948,G,5,8,172.7,,,,,160,,Georgetown University
Dino Radja,4/24/67,1994,1997,F-C,6,11,210.8,,,,,225,,
Dion Glover,10/22/78,2000,2005,G,6,5,195.6,,,,,228,,Georgia Institute of Technology
Dion Waiters,12/10/91,2013,2018,G,6,4,193.0,201.3,248.9,8.5,9.5,225,8.5%,Syracuse University
Dionte Christmas,9/15/86,2014,2014,G,6,5,195.6,205.7,260.4,,,205,7.1%,Temple University
Dirk Minniefield,1/17/61,1986,1988,G,6,3,190.5,,,,,180,,University of Kentucky
Dirk Nowitzki,6/19/78,1999,2018,F,7,0,213.4,,,,,245,,
Doc Rivers,10/13/61,1984,1996,G,6,4,193.0,,,,,185,,Marquette University
Dolph Schayes,5/19/28,1950,1964,F-C,6,8,203.2,,,,,220,,New York University
Domantas Sabonis,5/3/96,2017,2018,F-C,6,11,210.8,,,,,240,,Gonzaga University
Dominic McGuire,10/20/85,2008,2013,F,6,9,205.7,209.6,264.2,,,220,4.7%,"California State University, Fresno"
Dominic Pressley,5/30/64,1989,1989,G,6,2,188.0,,,,,170,,Boston College
Dominique Jones,10/15/88,2011,2013,G,6,4,193.0,206.4,256.5,9,10.25,215,5.9%,University of South Florida
Dominique Wilkins,1/12/60,1983,1999,F-G,6,7,200.7,,,,,200,,University of Georgia
Don Ackerman,9/4/30,1954,1954,G,6,0,182.9,,,,,183,,Long Island University
Don Adams,11/27/47,1971,1977,F,6,6,198.1,,,,,210,,Northwestern University
Don Anielak,11/1/30,1955,1955,F,6,7,200.7,,,,,190,,Missouri State University
Don Asmonga,2/15/28,1954,1954,G,6,2,188.0,,,,,185,,Alliance College
Don Barksdale,3/31/23,1952,1955,F-C,6,6,198.1,,,,,200,,"University of California, Los Angeles"
Don Bielke,12/31/99,1956,1956,C,6,7,200.7,,,,,240,,Valparaiso University
Don Boven,3/6/25,1950,1953,F-G,6,4,193.0,,,,,210,,Western Michigan University
