Year,Body,Injury,Severity,Position,Height (in cm),Wingspan (in cm),Standing Reach (in cm),Weight (in lb),Body Fat (%),Age,EndSeasonYear,Minutes,USG%,Games_Played,Fouls,Turnovers,Points,FT,3P,Steals,Assists,Offensive_Reb,Defensive_Reb
2019,knee,bruised,dtd,G-F,195.6,,,210.0,,32,2019,23.26923076923077,21.2,52.0,0.7884615384615384,1.0384615384615383,11.365384615384615,1.9423076923076923,1.7692307692307692,0.8846153846153846,1.9807692307692308,0.2692307692307692,1.6538461538461535
2011,foot,sprained,dnp,F,203.2,219.7,273.1,245.0,,31,2012,26.6,10.1,30.0,2.966666666666667,1.3,4.4,1.6,0.0,0.9666666666666668,1.2666666666666666,3.966666666666667,7.533333333333332
2014,ankle,sprained,dnp,F-C,208.3,217.8,275.6,245.0,,31,2014,23.517241379310345,25.7,29.0,3.0689655172413794,1.7241379310344829,14.241379310344827,3.6206896551724137,0.0,0.3448275862068966,0.4482758620689655,2.0689655172413794,2.931034482758621
2011,shoulder,bruised,dnp,G,195.6,201.3,255.3,210.0,6.1%,24,2011,34.23287671232877,26.4,73.0,2.808219178082192,2.232876712328767,16.643835616438356,4.095890410958904,0.2465753424657534,1.3835616438356164,4.767123287671233,0.9178082191780822,2.9315068493150687
2014,knee,"surgery', 'torn",dnp,F-C,205.7,,,242.0,,25,2014,29.0375,19.9,80.0,2.0,1.8125,12.725,2.275,0.0,0.6,1.1,3.325,7.025
2013,knee,injury,dnp,G,190.5,204.5,251.5,200.0,5.3%,30,2014,20.8,27.8,75.0,1.7866666666666666,1.8133333333333328,11.2,1.4266666666666667,1.5066666666666666,0.4666666666666667,1.88,0.24,1.4933333333333334
2020,ankle,sprained,dtd,G,190.5,203.2,250.2,190.0,4.6%,31,2020,27.294117647058826,27.3,51.0,1.1176470588235294,1.6078431372549018,17.980392156862745,2.6862745098039214,1.0588235294117647,0.6078431372549019,4.313725490196078,0.6470588235294118,2.0980392156862746
2014,shoulder,surgery,season,G,198.1,208.3,262.9,214.0,5.1%,23,2015,28.115384615384606,23.9,78.0,2.435897435897436,1.9102564102564104,13.961538461538465,3.5769230769230766,0.6410256410256411,0.8846153846153846,2.717948717948718,0.7564102564102564,2.5384615384615383
2013,ankle,sprained,dnp,C-F,208.3,219.7,279.4,289.0,10.5%,28,2013,34.01639344262295,25.7,61.0,2.540983606557377,1.0163934426229508,19.180327868852466,2.2459016393442623,0.016393442622950817,0.7704918032786885,2.19672131147541,2.180327868852459,7.409836065573771
2019,knee,sore,dtd,G-F,200.7,205.7,262.9,215.0,8.0%,29,2019,34.328767123287676,23.7,73.0,1.6027397260273972,1.7534246575342465,20.013698630136982,1.1232876712328768,3.136986301369863,0.7534246575342466,2.5342465753424657,0.4246575342465753,3.3698630136986303
2012,foot,sprained,dnp,G,190.5,201.9,254.0,200.0,,28,2012,26.69230769230769,22.8,13.0,1.9230769230769231,2.6153846153846154,10.769230769230768,3.0769230769230766,0.3076923076923077,1.0769230769230769,4.538461538461538,0.4615384615384616,2.769230769230769
2016,knee,sore,dtd,F-C,205.7,,,260.0,,27,2016,16.984126984126984,15.2,63.0,1.619047619047619,0.6349206349206349,5.0,0.5238095238095238,0.0,0.2380952380952381,1.1587301587301588,1.9523809523809523,3.1746031746031744
2010,back,spasms,dnp,G,200.7,208.9,264.2,210.0,,31,2011,33.23529411764706,18.1,51.0,1.9803921568627447,1.3725490196078431,12.725490196078427,2.2745098039215685,1.4313725490196083,1.2745098039215683,2.4509803921568643,0.35294117647058826,3.0588235294117645
2014,knee,injury,dnp,C-F,208.3,224.8,270.5,240.0,8.0%,26,2014,17.263157894736842,12.1,76.0,1.8289473684210529,0.5657894736842105,4.25,1.1710526315789471,0.0,0.5131578947368421,0.5657894736842105,1.4868421052631582,1.8157894736842104
2012,knee,sprained,dnp,F,205.7,210.8,260.4,248.0,7.5%,28,2012,26.52830188679245,20.3,53.0,2.358490566037736,1.5471698113207548,11.905660377358492,2.9245283018867925,0.0,0.5660377358490566,0.9433962264150944,2.3962264150943398,2.3773584905660377
2014,ankle,sprained,dnp,G,190.5,,,195.0,,40,2014,32.54,17.8,50.0,1.4,2.52,12.72,2.14,1.14,0.6,6.66,0.52,2.32
2014,knee,sore,dnp,C-F,208.3,217.2,274.3,235.0,6.0%,26,2014,15.79310344827586,20.2,29.0,1.8965517241379308,0.8965517241379308,6.689655172413793,1.3793103448275863,0.0,0.27586206896551724,0.4482758620689655,2.827586206896552,2.896551724137931
2012,wrist,sprained,dnp,F,208.3,214.6,270.5,250.0,,30,2012,24.57142857142857,24.6,35.0,2.8,1.3142857142857145,11.314285714285715,2.3142857142857145,0.08571428571428573,0.6,1.3428571428571427,2.085714285714286,4.714285714285714
2017,knee,bruised,dtd,F,205.7,213.4,270.5,245.0,,-25,2017,15.666666666666664,22.9,30.0,1.7,1.2666666666666666,7.133333333333334,1.3333333333333333,0.0,0.4,1.8,1.3666666666666667,2.966666666666667
2011,wrist,sprained,dnp,G,193.0,205.7,251.5,215.0,8.2%,22,2011,35.951612903225815,21.5,62.0,1.5483870967741935,2.3225806451612905,16.85483870967742,3.5806451612903225,1.9193548387096773,1.1129032258064515,3.0,0.4032258064516129,2.177419354838709
2014,knee,"surgery', 'torn",dnp,G,175.3,185.4,232.4,180.0,6.7%,29,2014,25.439024390243894,25.1,82.0,2.524390243902439,1.7560975609756098,13.097560975609756,1.6463414634146345,1.7195121951219512,1.0365853658536586,4.365853658536587,0.35365853658536583,1.8902439024390243
2013,ankle,sprained,dnp,C-F,205.7,,,255.0,,21,2014,27.325,10.2,80.0,2.4375,1.025,4.825,0.925,0.0,0.35,0.4375,2.425,4.85
2016,hamstring,sore,dtd,G,195.6,198.1,252.7,210.0,6.3%,28,2016,23.90140845070423,23.6,71.0,2.323943661971831,1.8028169014084507,11.352112676056338,1.6197183098591552,1.3943661971830985,0.8028169014084507,2.7746478873239435,0.4225352112676056,2.2112676056338034
2013,hamstring,strained,dnp,G,195.6,,,210.0,,27,2013,33.645161290322584,19.1,62.0,2.161290322580645,1.3709677419354838,15.209677419354836,3.177419354838709,1.4193548387096775,0.5806451612903226,2.403225806451613,0.6451612903225806,2.532258064516129
2019,groin,strained,season,F,203.2,218.4,273.1,215.0,8.0%,33,2019,33.86567164179105,14.4,67.0,1.9701492537313432,0.7761194029850746,11.671641791044776,1.1343283582089552,2.537313432835821,1.462686567164179,1.5671641791044777,0.4925373134328358,3.8955223880597014
2015,knee,bruised,dtd,F,203.2,208.3,266.7,215.0,6.3%,29,2016,31.271428571428572,16.9,70.0,2.2,1.0714285714285714,12.614285714285714,1.8142857142857145,1.7142857142857142,1.3428571428571427,1.6857142857142855,1.4142857142857144,3.9
2013,knee,sore,dnp,F,200.7,212.1,262.9,228.0,,33,2014,24.08974358974359,20.2,78.0,1.7820512820512822,0.9230769230769232,10.423076923076923,0.9615384615384616,1.641025641025641,0.6538461538461539,1.0,0.5256410256410257,2.333333333333333
2017,knee,sprained,dtd,C,215.9,235.0,292.1,245.0,4.4%,25,2018,33.876543209876544,16.7,81.0,3.037037037037037,1.8148148148148149,14.037037037037035,3.8395061728395055,0.0,0.6049382716049383,1.1975308641975309,3.876543209876543,8.901234567901234
2015,hip,injury,dtd,G,182.9,189.2,241.3,190.0,8.0%,33,2015,32.044117647058826,20.1,68.0,2.1470588235294117,2.4411764705882355,12.058823529411766,1.4117647058823528,2.0,0.7647058823529411,7.0,0.4264705882352941,2.9705882352941178
2016,ankle,sore,dtd,F,200.7,218.4,264.2,220.0,5.0%,21,2017,21.206896551724146,13.5,29.0,2.103448275862069,0.8965517241379308,5.758620689655173,1.2758620689655171,0.13793103448275862,1.3448275862068966,1.4827586206896552,1.3448275862068966,3.965517241379312
2011,back,surgery,indefinitely,G-F,200.7,210.8,269.2,230.0,,24,2011,24.451219512195124,18.2,82.0,1.8658536585365848,0.7317073170731707,9.365853658536585,1.5365853658536586,1.5121951219512195,0.5487804878048781,0.7560975609756098,0.573170731707317,2.6951219512195124
2014,knee,"surgery', 'torn",dnp,G,175.3,185.4,232.4,180.0,6.7%,29,2014,25.439024390243894,25.1,82.0,2.524390243902439,1.7560975609756098,13.097560975609756,1.6463414634146345,1.7195121951219512,1.0365853658536586,4.365853658536587,0.35365853658536583,1.8902439024390243
2013,knee,sore,dnp,F,200.7,212.1,262.9,228.0,,33,2014,24.08974358974359,20.2,78.0,1.7820512820512822,0.9230769230769232,10.423076923076923,0.9615384615384616,1.641025641025641,0.6538461538461539,1.0,0.5256410256410257,2.333333333333333
2013,ankle,sore,dnp,F,205.7,,,234.0,,35,2014,23.94444444444445,13.7,18.0,3.5555555555555562,0.8888888888888888,7.166666666666668,0.9444444444444444,0.0,0.8888888888888888,0.4444444444444444,1.8888888888888888,3.388888888888889
2019,ankle,sore,dtd,C,208.3,,,260.0,,32,2019,18.33333333333333,16.8,81.0,2.4691358024691357,0.9876543209876544,5.950617283950617,0.7283950617283951,0.037037037037037035,0.2716049382716049,1.148148148148148,1.6049382716049383,3.753086419753087
2013,back,sore,dnp,C,213.4,212.7,280.7,265.0,16.3%,31,2014,20.651515151515152,25.3,66.0,2.136363636363636,1.5606060606060606,10.5,1.0151515151515151,0.0,0.4393939393939394,0.7727272727272727,1.4696969696969695,4.166666666666667
2012,foot,strained,dnp,G,182.9,191.8,236.2,185.0,,29,2012,18.442622950819672,22.5,61.0,1.8524590163934431,1.360655737704918,7.9016393442622945,1.6721311475409837,0.26229508196721313,0.8524590163934426,3.19672131147541,0.2459016393442623,0.9672131147540984
2013,knee,sore,dnp,F,203.2,219.7,262.9,230.0,7.0%,26,2013,23.465116279069772,15.1,43.0,2.1627906976744184,0.9069767441860463,7.7441860465116275,1.5348837209302326,0.02325581395348837,0.9302325581395348,0.6744186046511628,1.7906976744186047,3.488372093023256
2017,shoulder,"surgery', 'torn",season,F,200.7,208.9,265.4,225.0,5.3%,20,2017,28.615384615384606,12.5,78.0,2.358974358974359,1.2179487179487178,6.435897435897436,1.0256410256410255,0.41025641025641024,0.8717948717948718,1.5,1.0384615384615383,4.128205128205129
2014,ankle,sprained,dnp,F,205.7,,,220.0,,33,2014,31.78125,17.4,64.0,1.28125,1.859375,12.359375,2.9375,0.546875,1.5,2.765625,1.59375,4.0625
2013,ankle,sprained,dnp,G,193.0,210.2,259.1,220.0,6.7%,31,2013,33.16326530612245,31.3,49.0,2.2448979591836733,2.6326530612244903,22.081632653061227,4.795918367346938,0.30612244897959184,1.673469387755102,4.591836734693878,1.4897959183673468,3.346938775510204
2016,knee,sore,dtd,G-F,198.1,,,225.0,,29,2017,22.875,22.8,64.0,2.21875,1.09375,11.765625,1.453125,2.21875,0.828125,0.984375,0.390625,2.34375
2020,knee,sore,dtd,G,193.0,205.7,251.5,215.0,8.2%,31,2020,31.735294117647058,22.0,68.0,2.1029411764705883,1.3235294117647058,16.220588235294116,1.75,3.1764705882352944,0.6029411764705882,1.897058823529412,0.25,1.9264705882352944
2012,knee,injury,dnp,G,185.4,200.0,246.4,195.0,4.0%,32,2012,19.5875,13.4,80.0,1.825,1.45,4.2875,0.6875,0.45,0.7625,3.475,0.65,1.625
2013,calf,strained,dnp,F-C,210.8,,,226.0,,34,2013,22.8,13.0,25.0,3.2,0.84,5.0,0.84,0.0,0.32,0.4,1.48,3.92
2014,groin,strained,dnp,G,182.9,189.2,241.3,190.0,8.0%,32,2014,35.30357142857143,22.5,56.0,2.875,2.75,14.678571428571427,1.5892857142857142,2.1607142857142856,1.2678571428571428,7.375,0.4107142857142857,3.321428571428572
2012,ankle,sprained,dnp,C,213.4,229.9,288.3,268.0,12.9%,32,2012,18.48611111111111,12.4,72.0,2.0277777777777777,0.7083333333333334,4.4444444444444455,0.8888888888888888,0.0,0.2222222222222222,0.2638888888888889,1.7916666666666667,3.4305555555555562
2019,knee,sore,dtd,G,190.5,203.2,250.2,190.0,4.6%,31,2020,27.294117647058826,27.3,51.0,1.1176470588235294,1.6078431372549018,17.980392156862745,2.6862745098039214,1.0588235294117647,0.6078431372549019,4.313725490196078,0.6470588235294118,2.0980392156862746
2015,ankle,sore,dtd,G,193.0,,,210.0,,30,2015,20.233333333333334,25.3,30.0,0.8666666666666667,1.3,10.033333333333333,1.5,1.3333333333333333,0.2333333333333333,1.5333333333333334,0.26666666666666666,1.4
2016,hip,bruised,dtd,G,188.0,201.3,250.2,180.0,4.0%,25,2016,31.532467532467532,21.0,77.0,2.2987012987012987,1.4155844155844155,13.909090909090908,1.025974025974026,1.6103896103896105,1.0649350649350648,1.7532467532467533,0.5974025974025974,2.5324675324675323
2016,shoulder,strained,dtd,F,205.7,215.3,268.0,250.0,12.0%,29,2017,16.245614035087723,15.9,57.0,1.4736842105263157,0.9473684210526316,5.035087719298246,0.6842105263157895,0.3508771929824561,0.5087719298245614,1.1754385964912282,0.4912280701754386,1.7192982456140349
2012,knee,"surgery', 'torn",indefinitely,F,208.3,211.5,266.7,251.0,8.2%,23,2012,37.95121951219512,27.3,82.0,3.0731707317073167,2.7195121951219514,22.5,5.439024390243904,0.08536585365853659,0.7682926829268293,3.804878048780489,3.292682926829269,8.768292682926829
2010,foot,injury,dtd,G-F,198.1,211.5,264.2,220.0,7.1%,21,2011,37.18055555555557,26.2,72.0,2.833333333333333,3.0,20.13888888888889,4.833333333333333,0.5,1.5138888888888888,5.75,0.9166666666666666,4.361111111111111
2013,ankle,sprained,dtd,F-G,203.2,,,218.0,,35,2013,27.384615384615394,22.5,26.0,2.3461538461538463,2.5384615384615383,10.538461538461537,1.9230769230769231,1.1538461538461535,1.0,2.9615384615384617,0.6153846153846154,2.5384615384615383
2014,back,spasms,dnp,G-F,200.7,207.0,260.4,212.0,6.7%,33,2014,30.52702702702703,14.5,74.0,2.2972972972972974,0.9459459459459459,10.945945945945946,0.9054054054054054,2.5540540540540544,0.9459459459459459,1.9729729729729728,0.3108108108108108,3.6486486486486487
2018,knee,sore,dtd,G,195.6,208.3,260.4,200.0,,38,2019,20.6625,23.7,80.0,1.0625,1.1875,10.275,1.275,1.3,0.5,2.3125,0.2625,0.975
2012,knee,sore,dnp,F,200.7,,,220.0,,33,2012,28.1625,21.5,80.0,1.8,1.625,12.4875,1.575,0.0625,0.85,1.375,2.1,4.7875
2012,knee,sore,dnp,C-F,208.3,223.5,280.7,252.0,5.3%,29,2012,31.76388888888889,15.8,72.0,3.1944444444444446,1.6527777777777777,10.347222222222221,2.0138888888888893,0.0,0.5555555555555556,0.5833333333333334,3.1944444444444446,6.3055555555555545
2012,calf,strained,dnp,F-C,213.4,,,245.0,,26,2012,35.65151515151515,28.2,66.0,2.4242424242424243,2.303030303030303,21.424242424242426,4.348484848484849,1.1666666666666667,0.5151515151515151,1.8030303030303032,1.1212121212121209,4.075757575757576
2016,shoulder,bruised,dtd,C,215.9,221.0,279.4,240.0,6.7%,33,2016,30.48,12.8,75.0,2.2533333333333334,1.4,10.28,2.466666666666667,0.0,0.56,1.12,3.92,7.6
2012,groin,sore,dnp,G,188.0,190.5,240.0,180.0,4.4%,25,2012,24.602739726027398,21.6,73.0,1.7534246575342465,1.904109589041096,9.602739726027398,1.1232876712328768,1.4931506849315068,0.8493150684931506,5.04109589041096,0.3287671232876712,2.041095890410959
2013,knee,sprained,dnp,G,190.5,,,200.0,,25,2014,32.19512195121951,20.8,82.0,2.5,2.8780487804878048,13.353658536585364,2.6341463414634148,1.0609756097560976,1.6341463414634143,6.060975609756098,0.3902439024390244,2.6219512195121952
2014,knee,injury,dnp,F-C,213.4,210.2,269.2,245.0,7.5%,28,2014,17.176470588235293,23.4,51.0,2.411764705882353,1.0784313725490196,8.235294117647058,1.6862745098039216,0.0,0.29411764705882354,0.6666666666666666,1.2549019607843137,2.392156862745098
2010,knee,injury,indefinitely,F,208.3,217.2,274.3,255.0,17.0%,29,2011,20.76,12.1,75.0,3.066666666666667,0.84,5.8533333333333335,0.9866666666666668,0.013333333333333334,0.4933333333333334,0.5066666666666667,2.026666666666667,3.0933333333333333
2011,back,strained,dnp,G,188.0,190.5,240.0,180.0,4.4%,24,2011,17.975609756097562,19.0,82.0,1.329268292682927,0.8780487804878049,7.2073170731707314,0.6951219512195121,1.048780487804878,0.6341463414634146,1.548780487804878,0.17073170731707318,1.4268292682926829
2011,ankle,sprained,dnp,F-C,210.8,210.8,268.0,245.0,11.7%,30,2011,32.55555555555556,18.8,72.0,2.4305555555555562,1.3888888888888888,14.583333333333336,2.1388888888888893,1.7777777777777777,1.0,2.083333333333333,1.7916666666666667,8.444444444444445
2012,foot,sore,dnp,G,185.4,196.9,250.2,198.0,6.7%,29,2012,29.58333333333333,26.0,36.0,2.5277777777777777,2.9166666666666665,13.25,2.3611111111111107,1.0,0.9166666666666666,7.1388888888888875,0.4166666666666667,2.2777777777777777
2015,ankle,sprained,dtd,F-C,205.7,214.6,270.5,235.0,6.7%,30,2016,21.015625,18.3,64.0,2.03125,0.71875,7.953125,1.359375,0.0,0.53125,0.890625,1.84375,4.65625
2012,foot,sore,dnp,G,185.4,196.9,250.2,198.0,6.7%,29,2012,29.58333333333333,26.0,36.0,2.5277777777777777,2.9166666666666665,13.25,2.3611111111111107,1.0,0.9166666666666666,7.1388888888888875,0.4166666666666667,2.2777777777777777
2011,knee,strained,dnp,F-C,205.7,,,289.0,,25,2011,17.27777777777778,19.7,54.0,2.4444444444444446,0.9814814814814816,6.296296296296298,1.7777777777777777,0.0,0.3888888888888889,0.6481481481481481,1.8703703703703705,1.9259259259259256
2018,ankle,sprained,dtd,F,205.7,222.3,274.3,237.0,,31,2018,30.197368421052627,16.3,76.0,1.7631578947368418,0.7894736842105263,11.171052631578947,1.7236842105263157,1.631578947368421,0.7631578947368421,1.3947368421052628,1.1710526315789471,5.407894736842105
2013,back,sore,dnp,G,193.0,,,205.0,,39,2013,28.72916666666667,12.7,48.0,1.7291666666666667,1.8958333333333333,6.229166666666668,0.4583333333333333,1.6458333333333333,1.7083333333333333,5.5,0.3125,3.8125
2014,ankle,sore,dnp,G,188.0,201.3,250.2,180.0,4.0%,23,2014,28.7,18.8,50.0,2.58,1.44,9.22,0.74,0.8,1.28,2.08,0.6,1.62
2012,knee,sprained,dtd,F,200.7,,,220.0,,34,2013,30.46031746031746,19.0,63.0,1.380952380952381,1.5555555555555556,10.634920634920633,1.1746031746031746,0.31746031746031744,1.0634920634920637,2.095238095238096,2.3015873015873014,5.079365079365079
2012,ankle,sprained,dnp,G,190.5,205.7,247.7,188.0,3.0%,25,2012,28.26315789473684,18.2,76.0,2.013157894736842,1.3026315789473684,11.63157894736842,3.0657894736842106,1.013157894736842,0.8684210526315791,2.5394736842105257,0.3157894736842105,2.3026315789473686
2016,knee,sore,dtd,G-F,198.1,,,225.0,,29,2017,22.875,22.8,64.0,2.21875,1.09375,11.765625,1.453125,2.21875,0.828125,0.984375,0.390625,2.34375
2014,knee,injury,"rest', 'dnp",G,185.4,,,186.0,,28,2014,37.44736842105263,21.7,38.0,2.526315789473684,3.8947368421052633,13.73684210526316,1.5789473684210529,0.3157894736842105,1.8421052631578947,11.052631578947368,1.131578947368421,4.447368421052632
2013,knee,surgery,indefinitely,C-F,208.3,224.8,270.5,240.0,8.0%,26,2014,17.263157894736842,12.1,76.0,1.8289473684210529,0.5657894736842105,4.25,1.1710526315789471,0.0,0.5131578947368421,0.5657894736842105,1.4868421052631582,1.8157894736842104
2012,knee,"surgery', 'torn",indefinitely,F,205.7,,,230.0,,32,2012,22.80821917808219,22.3,73.0,2.767123287671233,1.452054794520548,10.47945205479452,1.178082191780822,1.6027397260273972,0.5342465753424658,1.3835616438356164,1.0410958904109588,3.506849315068493
2014,ankle,sprained,dnp,G,195.6,198.1,252.7,210.0,6.3%,26,2014,35.52439024390244,20.9,82.0,2.3780487804878048,2.5609756097560976,15.304878048780491,2.3292682926829267,1.7317073170731707,1.1341463414634143,4.402439024390244,0.4390243902439024,3.109756097560976
2014,foot,sore,dnp,G-F,198.1,,,225.0,,26,2014,20.984615384615385,23.9,65.0,2.123076923076923,1.0615384615384615,11.215384615384616,1.4307692307692308,1.9384615384615385,0.7538461538461538,0.9692307692307692,0.3692307692307693,2.3076923076923075
2012,knee,tendinitis,dnp,F-G,200.7,206.4,261.6,190.0,5.3%,-51,2012,20.325,18.7,80.0,1.55,0.7125,9.225,1.25,1.275,0.35,1.5125,0.5625,2.1375
2011,groin,sore,dnp,G-F,198.1,,,185.0,,32,2011,33.73913043478261,27.9,46.0,2.5,2.5,18.065217391304348,4.434782608695652,0.8913043478260869,0.6521739130434783,4.391304347826087,0.6521739130434783,2.0
2014,calf,injury,dtd,F-C,210.8,218.4,278.1,245.0,5.3%,29,2015,21.54237288135593,17.7,59.0,1.9830508474576272,1.2711864406779658,8.186440677966102,2.0508474576271185,0.0,0.4915254237288136,1.5254237288135593,2.0847457627118646,4.067796610169491
2012,knee,sore,"rest', 'dnp",G,193.0,,,194.0,,22,2013,34.24390243902439,18.7,41.0,2.365853658536585,3.1951219512195124,10.634146341463415,3.0731707317073167,0.7804878048780488,2.2195121951219514,8.195121951219512,0.5121951219512195,3.658536585365853
2018,ankle,injury,dtd,G-F,200.7,205.1,259.1,205.0,7.0%,27,2019,27.935483870967737,15.7,62.0,1.1290322580645162,0.7580645161290323,11.258064516129034,0.6290322580645161,2.0161290322580645,0.7580645161290323,1.5322580645161292,0.4354838709677419,2.048387096774193
2016,ankle,sore,dtd,F-C,213.4,,,245.0,,30,2016,27.068965517241374,26.4,29.0,1.8275862068965518,1.4482758620689655,14.827586206896553,3.0,0.5172413793103449,0.06896551724137931,1.5862068965517242,1.1034482758620692,3.2758620689655173
2018,knee,sore,dtd,G,195.6,210.2,262.9,220.0,10.1%,28,2018,36.38271604938272,34.2,81.0,2.654320987654321,5.728395061728394,29.086419753086425,9.209876543209877,3.2345679012345685,1.4938271604938271,11.197530864197534,1.1728395061728396,6.962962962962963
2014,knee,fractured,dnp,G-F,200.7,213.4,255.3,210.0,6.8%,28,2014,23.915254237288128,21.2,59.0,1.4237288135593218,0.8474576271186439,10.64406779661017,1.7796610169491525,1.2711864406779658,0.6101694915254238,1.4237288135593218,0.4067796610169492,1.7966101694915255
2011,shoulder,bruised,dnp,G,195.6,201.3,255.3,210.0,6.1%,24,2011,34.23287671232877,26.4,73.0,2.808219178082192,2.232876712328767,16.643835616438356,4.095890410958904,0.2465753424657534,1.3835616438356164,4.767123287671233,0.9178082191780822,2.9315068493150687
2013,hamstring,strained,dnp,F-G,203.2,214.0,269.9,250.0,6.7%,28,2013,37.516129032258064,32.0,62.0,1.5483870967741935,3.435483870967741,27.14516129032258,6.241935483870968,0.8709677419354839,1.85483870967742,6.241935483870968,1.5161290322580645,6.419354838709677
2011,ankle,sore,dnp,F-C,205.7,,,240.0,,23,2011,17.719512195121947,14.5,82.0,3.109756097560976,0.7682926829268293,6.2317073170731705,1.1585365853658536,0.0,0.5365853658536586,0.5853658536585366,1.8780487804878048,2.9390243902439024
2015,ankle,sprained,dtd,F,205.7,210.8,262.9,235.0,8.4%,22,2015,30.327868852459016,22.2,61.0,2.3442622950819683,1.278688524590164,14.63934426229508,3.229508196721312,0.5245901639344263,0.6721311475409836,1.3442622950819672,1.4426229508196722,5.508196721311475
2014,ankle,sprained,dnp,F,205.7,,,220.0,,33,2014,31.78125,17.4,64.0,1.28125,1.859375,12.359375,2.9375,0.546875,1.5,2.765625,1.59375,4.0625
2012,hamstring,sore,dnp,F-G,203.2,,,218.0,,33,2012,35.8955223880597,27.4,67.0,2.4029850746268657,3.1194029850746268,18.507462686567163,3.7164179104477615,1.805970149253732,1.1940298507462686,3.5970149253731343,0.7910447761194029,3.7462686567164174
2012,back,sore,dnp,F-C,210.8,,,236.0,,35,2012,16.785714285714285,10.1,56.0,2.267857142857143,0.4642857142857143,3.3392857142857144,0.4821428571428572,0.0,0.42857142857142855,0.8214285714285714,2.8571428571428568,3.3928571428571432
2017,ankle,fractured,season,F-G,203.2,202.6,261.6,226.0,6.9%,27,2018,34.46575342465753,27.6,73.0,1.6027397260273972,1.9178082191780816,21.931506849315067,4.9589041095890405,2.041095890410959,1.0,3.4520547945205484,0.6712328767123288,4.726027397260274
2012,knee,bruised,dnp,G,190.5,201.9,254.0,200.0,,28,2012,26.69230769230769,22.8,13.0,1.9230769230769231,2.6153846153846154,10.769230769230768,3.0769230769230766,0.3076923076923077,1.0769230769230769,4.538461538461538,0.4615384615384616,2.769230769230769
2015,knee,sore,season,F-C,210.8,,,240.0,,38,2015,20.537037037037038,18.9,54.0,2.2777777777777777,1.2777777777777777,6.518518518518517,0.7037037037037037,0.0,0.7962962962962963,1.5185185185185186,1.1111111111111112,5.518518518518518
2015,hip,strained,dtd,C,215.9,221.0,279.4,240.0,6.7%,32,2015,30.21818181818182,12.9,55.0,2.636363636363636,1.2909090909090908,8.727272727272727,1.7818181818181815,0.0,0.6545454545454545,1.0727272727272728,2.890909090909091,6.7272727272727275
2016,hamstring,strained,dtd,G,190.5,,,200.0,,28,2017,26.256410256410252,22.2,78.0,2.1153846153846154,1.9230769230769231,11.717948717948715,3.051282051282051,0.9743589743589745,0.7435897435897436,3.0128205128205128,0.5384615384615384,2.7051282051282053
2019,ankle,sprained,dtd,G,193.0,,,205.0,,28,2020,23.484848484848484,15.4,66.0,1.7424242424242424,0.9696969696969696,7.621212121212121,0.7878787878787878,1.196969696969697,0.5454545454545454,1.6969696969696968,0.9090909090909092,2.696969696969697
2016,wrist,bruised,dtd,F,205.7,214.6,275.6,220.0,6.7%,31,2016,33.625,19.5,72.0,1.5138888888888888,1.5,13.986111111111107,2.6527777777777777,1.0833333333333333,0.9027777777777778,1.9305555555555558,1.4305555555555556,3.7916666666666665
2017,ankle,injury,dtd,F,205.7,215.3,268.0,250.0,12.0%,30,2018,27.434210526315788,22.0,76.0,2.5921052631578947,2.25,12.828947368421053,2.0,1.1447368421052628,1.0,3.6315789473684217,0.8684210526315791,4.078947368421051
2013,foot,sore,dnp,G,195.6,210.2,262.9,220.0,10.1%,24,2014,38.269230769230774,29.0,78.0,2.2820512820512806,3.782051282051282,25.93589743589743,8.64102564102564,2.2948717948717947,1.8205128205128205,5.833333333333332,0.7948717948717948,4.064102564102564
2012,shoulder,injury,dnp,G-F,198.1,,,185.0,,34,2012,27.236363636363638,26.0,55.0,1.7272727272727273,1.6,14.127272727272727,2.6545454545454548,1.0,0.7090909090909091,3.109090909090909,0.4363636363636363,1.8545454545454545
2014,knee,injury,"rest', 'dnp",G,190.5,202.6,254.0,200.0,4.8%,25,2014,34.890243902439025,32.8,82.0,2.3048780487804885,3.3292682926829267,23.207317073170728,5.6097560975609735,1.1829268292682926,1.7682926829268293,7.402439024390246,1.3536585365853655,3.865853658536585
2016,knee,injury,dtd,G,195.6,,,210.0,,30,2016,33.0188679245283,19.9,53.0,2.0377358490566038,1.5660377358490567,14.547169811320755,2.3962264150943398,1.5471698113207548,0.6037735849056604,1.9056603773584904,0.3962264150943397,3.0
2015,back,sore,dtd,F-C,205.7,214.6,270.5,235.0,6.7%,30,2015,19.942028985507246,19.0,69.0,1.9710144927536235,0.927536231884058,8.391304347826088,1.6956521739130437,0.0,0.4492753623188406,0.9710144927536232,1.8405797101449275,4.086956521739131
2016,calf,sore,dtd,F,208.3,214.6,270.5,250.0,,34,2016,16.941176470588232,17.0,51.0,1.7843137254901962,0.5490196078431373,5.431372549019608,0.6666666666666666,0.4509803921568628,0.4117647058823529,0.9607843137254902,1.4117647058823528,2.9607843137254903
2015,hip,sore,dtd,G,185.4,196.9,250.2,198.0,6.7%,32,2015,24.783783783783782,20.5,74.0,2.6621621621621623,2.0135135135135136,9.743243243243244,1.054054054054054,1.1216216216216215,0.7432432432432432,4.337837837837838,0.5675675675675675,1.5
