,Unnamed: 0,Date,Team,Notes,Player,dateTime,Year,Tokenized Notes,Body,Injury,Severity,Player_Identifier
1911,1935,2012-04-14,Wizards,plantar fasciitis in left foot (DNP),Nene Hilario ,2012-04-14,2012,"['plantar', 'fasciitis', 'in', 'left', 'foot', '(', 'dnp', ')']","['plantar', 'left', 'foot']",['fasciitis'],['dnp'],
1919,1944,2012-04-15,Raptors,right eye injury (DNP),Jose Calderon,2012-04-15,2012,"['right', 'eye', 'injury', '(', 'dnp', ')']","['right', 'eye']",['injury'],['dnp'],
1924,1949,2012-04-16,Bobcats,right knee tendinitis (DNP),D.J. Augustine,2012-04-16,2012,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
1941,1966,2012-04-16,Timberwolves,strained right hamstring (DNP),Darko Milicic,2012-04-16,2012,"['strained', 'right', 'hamstring', '(', 'dnp', ')']","['right', 'hamstring']",['strained'],['dnp'],
1943,1968,2012-04-16,Warriors,concussion (DNP),Andris Biedrins,2012-04-16,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
1946,1971,2012-04-16,Wizards,plantar fasciitis in left foot (DNP),Nene Hilario ,2012-04-16,2012,"['plantar', 'fasciitis', 'in', 'left', 'foot', '(', 'dnp', ')']","['plantar', 'left', 'foot']",['fasciitis'],['dnp'],
1948,1973,2012-04-16,Wizards,surgery on broken left index finger (out for season),Roger Mason Jr.,2012-04-16,2012,"['surgery', 'on', 'broken', 'left', 'index', 'finger', '(', 'out', 'for', 'season', ')']",['left'],"['surgery', 'broken']",['season'],
1951,1976,2012-04-17,Celtics,knee injury (DTD),Mickael Pietrus,2012-04-17,2012,"['knee', 'injury', '(', 'dtd', ')']",['knee'],['injury'],['dtd'],
1954,1979,2012-04-17,Timberwolves,strained right hamstring (DNP),Darko Milicic,2012-04-17,2012,"['strained', 'right', 'hamstring', '(', 'dnp', ')']","['right', 'hamstring']",['strained'],['dnp'],
1958,1983,2012-04-18,Bobcats,right knee tendinitis (DNP),D.J. Augustine,2012-04-18,2012,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
1961,1986,2012-04-18,Bucks,stomach flu (DTD),Larry Sanders ,2012-04-18,2012,"['stomach', 'flu', '(', 'dtd', ')']",['stomach'],['flu'],['dtd'],
1983,2008,2012-04-18,Warriors,concussion (DNP),Andris Biedrins,2012-04-18,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
1992,2017,2012-04-19,Timberwolves,strained right hamstring (DNP),Darko Milicic,2012-04-19,2012,"['strained', 'right', 'hamstring', '(', 'dnp', ')']","['right', 'hamstring']",['strained'],['dnp'],
1994,2019,2012-04-20,Bobcats,right knee tendinitis (DNP),D.J. Augustine,2012-04-20,2012,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
2003,2028,2012-04-20,Kings,quadriceps injury (DNP),Marcus Thornton ,2012-04-20,2012,"['quadriceps', 'injury', '(', 'dnp', ')']",['quadriceps'],['injury'],['dnp'],
2005,2030,2012-04-20,Warriors,concussion (DNP),Andris Biedrins,2012-04-20,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2023,2048,2012-04-21,Warriors,concussion (DNP),Andris Biedrins,2012-04-21,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2027,2052,2012-04-22,Bobcats,right knee tendinitis (DNP),D.J. Augustine,2012-04-22,2012,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
2038,2063,2012-04-22,Raptors,right eye injury (DNP),Jose Calderon,2012-04-22,2012,"['right', 'eye', 'injury', '(', 'dnp', ')']","['right', 'eye']",['injury'],['dnp'],
2041,2066,2012-04-22,Timberwolves,strained right hamstring (DNP),Darko Milicic,2012-04-22,2012,"['strained', 'right', 'hamstring', '(', 'dnp', ')']","['right', 'hamstring']",['strained'],['dnp'],
2043,2068,2012-04-22,Timberwolves,illness (DNP),Malcom Lee,2012-04-22,2012,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
2044,2069,2012-04-22,Warriors,concussion (DNP),Andris Biedrins,2012-04-22,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2055,2080,2012-04-23,Raptors,right eye injury (DNP),Jose Calderon,2012-04-23,2012,"['right', 'eye', 'injury', '(', 'dnp', ')']","['right', 'eye']",['injury'],['dnp'],
2069,2094,2012-04-24,Kings,quadriceps injury (DNP),Marcus Thornton ,2012-04-24,2012,"['quadriceps', 'injury', '(', 'dnp', ')']",['quadriceps'],['injury'],['dnp'],
2073,2098,2012-04-24,Warriors,concussion (DNP),Andris Biedrins,2012-04-24,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2080,2105,2012-04-25,Bucks,right knee / thigh injury (DNP),Ersan Ilyasova,2012-04-25,2012,"['right', 'knee', '/', 'thigh', 'injury', '(', 'dnp', ')']","['right', 'knee']",['injury'],['dnp'],
2085,2110,2012-04-25,Spurs,rest (DNP),Manu Ginobili,2012-04-25,2012,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
2103,2128,2012-04-26,Bucks,right knee injury (DNP),Ersan Ilyasova,2012-04-26,2012,"['right', 'knee', 'injury', '(', 'dnp', ')']","['right', 'knee']",['injury'],['dnp'],
2113,2139,2012-04-26,Hornets,concussion (DNP),Gustavo Ayon,2012-04-26,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2132,2158,2012-04-26,Raptors,right eye injury (DNP),Jose Calderon,2012-04-26,2012,"['right', 'eye', 'injury', '(', 'dnp', ')']","['right', 'eye']",['injury'],['dnp'],
2136,2162,2012-04-26,Spurs,rest (DNP),Manu Ginobili,2012-04-26,2012,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
2140,2166,2012-04-26,Warriors,concussion (DNP),Andris Biedrins,2012-04-26,2012,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
2162,2189,2012-05-15,Timberwolves,surgery on right ankle to remove bone spurs (out indefinitely),Nikola Pekovic,2012-05-15,2012,"['surgery', 'on', 'right', 'ankle', 'to', 'remove', 'bone', 'spurs', '(', 'out', 'indefinitely', ')']","['right', 'ankle', 'bone']",['surgery'],['indefinitely'],
2165,2192,2012-06-12,Heat,migraine headache (DNP),James Jones ,2012-06-12,2012,"['migraine', 'headache', '(', 'dnp', ')']",[],['headache'],['dnp'],
2166,2193,2012-06-14,Celtics,arthroscopic surgery on right knee (out indefinitely),Mickael Pietrus,2012-06-14,2012,"['arthroscopic', 'surgery', 'on', 'right', 'knee', '(', 'out', 'indefinitely', ')']","['right', 'knee']",['surgery'],['indefinitely'],
2185,2212,2012-09-28,Wizards,stress fracture in left kneecap (out indefinitely),John Wall ,2012-09-28,2012,"['stress', 'fracture', 'in', 'left', 'kneecap', '(', 'out', 'indefinitely', ')']",['left'],"['stress', 'fracture']",['indefinitely'],
2187,2214,2012-10-10,Knicks,surgery on knee (out indefinitely),Chris Smith ,2012-10-10,2012,"['surgery', 'on', 'knee', '(', 'out', 'indefinitely', ')']",['knee'],['surgery'],['indefinitely'],
2192,2219,2012-10-30,Celtics,back spasms (DTD),Darko Milicic,2012-10-30,2012,"['back', 'spasms', '(', 'dtd', ')']",['back'],['spasms'],['dtd'],
2199,2226,2012-10-30,Spurs,back spasms (DTD),Manu Ginobili,2012-10-30,2012,"['back', 'spasms', '(', 'dtd', ')']",['back'],['spasms'],['dtd'],
2204,2232,2012-10-31,Warriors,groin injury (DNP),Andris Biedrins,2012-10-31,2012,"['groin', 'injury', '(', 'dnp', ')']",['groin'],['injury'],['dnp'],
2206,2234,2012-11-02,Magic,sprained left thumb (DNP),Gustavo Ayon,2012-11-02,2012,"['sprained', 'left', 'thumb', '(', 'dnp', ')']","['left', 'thumb']",['sprained'],['dnp'],
2207,2235,2012-11-02,Magic,surgery to repair hernia (DTD),Moe Harkless,2012-11-02,2012,"['surgery', 'to', 'repair', 'hernia', '(', 'dtd', ')']",[],['surgery'],['dtd'],
2214,2242,2012-11-06,Bobcats,sprained left foot (out indefinitely),Gerald Henderson ,2012-11-06,2012,"['sprained', 'left', 'foot', '(', 'out', 'indefinitely', ')']","['left', 'foot']",['sprained'],['indefinitely'],
2229,2260,2012-11-09,Timberwolves,sprained left foot (DNP),Jose Barea ,2012-11-09,2012,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
2235,2266,2012-11-10,Timberwolves,sprained left foot (DNP),Jose Barea ,2012-11-10,2012,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
2241,2273,2012-11-12,Timberwolves,sprained left foot (DNP),Jose Barea ,2012-11-12,2012,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
2242,2274,2012-11-13,Kings,flu (DNP),Francisco Garcia,2012-11-13,2012,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
2251,2283,2012-11-14,Timberwolves,sprained left foot (DNP),Jose Barea ,2012-11-14,2012,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
2252,2284,2012-11-14,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,2012-11-14,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2262,2294,2012-11-16,Timberwolves,sprained left foot (DNP),Jose Barea ,2012-11-16,2012,"['sprained', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sprained'],['dnp'],
2263,2295,2012-11-16,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,2012-11-16,2012,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2297,2332,2012-11-26,Grizzlies,flu (DNP),Mike Conley Jr.,2012-11-26,2012,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
2301,2336,2012-11-26,Wizards,sore left foot (DNP),Nene Hilario ,2012-11-26,2012,"['sore', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sore'],['dnp'],
2313,2349,2012-11-29,Spurs,rest (DNP),Manu Ginobili,2012-11-29,2012,"['rest', '(', 'dnp', ')']",[],['rest'],"['rest', 'dnp']",
2376,2412,2012-12-09,Raptors,left knee tendinitis (DNP),Mickael Pietrus,2012-12-09,2012,"['left', 'knee', 'tendinitis', '(', 'dnp', ')']","['left', 'knee']",['tendinitis'],['dnp'],
2377,2413,2012-12-09,Suns,flu (DNP),Goran Dragic,2012-12-09,2012,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
2380,2416,2012-12-10,Blazers,bruised left hip (DNP),Wes Matthews Jr.,2012-12-10,2012,"['bruised', 'left', 'hip', '(', 'dnp', ')']","['left', 'hip']",['bruised'],['dnp'],
2391,2427,2012-12-12,Bucks,illness (DNP),Larry Sanders ,2012-12-12,2012,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
2403,2440,2012-12-14,Bucks,bruised left knee (DNP),Mike Dunleavy Jr.,2012-12-14,2012,"['bruised', 'left', 'knee', '(', 'dnp', ')']","['left', 'knee']",['bruised'],['dnp'],
2408,2445,2012-12-14,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-14,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2420,2457,2012-12-15,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-15,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2422,2459,2012-12-15,Wizards,sore left foot (DNP),Nene Hilario ,2012-12-15,2012,"['sore', 'left', 'foot', '(', 'dnp', ')']","['left', 'foot']",['sore'],['dnp'],
2432,2469,2012-12-17,Spurs,bruised left quadricep (DNP),Manu Ginobili,2012-12-17,2012,"['bruised', 'left', 'quadricep', '(', 'dnp', ')']",['left'],['bruised'],['dnp'],
2434,2471,2012-12-17,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-17,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2436,2473,2012-12-18,Heat,illness (DTD),Terrel Harris,2012-12-18,2012,"['illness', '(', 'dtd', ')']",[],['illness'],['dtd'],harrite01
2439,2476,2012-12-18,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-18,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2457,2494,2012-12-20,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-20,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2461,2498,2012-12-21,Kings,sore lower back (DNP),Francisco Garcia,2012-12-21,2012,"['sore', 'lower', 'back', '(', 'dnp', ')']",['back'],['sore'],['dnp'],
2466,2503,2012-12-21,Raptors,fractured right ring finger (out indefinitely),Jonas Valanciunas,2012-12-21,2012,"['fractured', 'right', 'ring', 'finger', '(', 'out', 'indefinitely', ')']",['right'],['fractured'],['indefinitely'],
2469,2506,2012-12-21,Wizards,sore left foot (P) / flu (CBC) (DNP),Nene Hilario ,2012-12-21,2012,"['sore', 'left', 'foot', '(', 'p', ')', '/', 'flu', '(', 'cbc', ')', '(', 'dnp', ')']","['left', 'foot']","['sore', 'flu']",['dnp'],
2472,2509,2012-12-22,Bobcats,bruised right shin (DNP),Gerald Henderson ,2012-12-22,2012,"['bruised', 'right', 'shin', '(', 'dnp', ')']","['right', 'shin']",['bruised'],['dnp'],
2473,2510,2012-12-22,Grizzlies,migraine headache (DNP),Tony Wroten Jr.,2012-12-22,2012,"['migraine', 'headache', '(', 'dnp', ')']",[],['headache'],['dnp'],
2476,2513,2012-12-23,Blazers,left hip injury (DNP),Wes Matthews Jr.,2012-12-23,2012,"['left', 'hip', 'injury', '(', 'dnp', ')']","['left', 'hip']",['injury'],['dnp'],
2477,2514,2012-12-23,Bobcats,sprained left ankle (out indefinitely),B.J. Mullens,2012-12-23,2012,"['sprained', 'left', 'ankle', '(', 'out', 'indefinitely', ')']","['left', 'ankle']",['sprained'],['indefinitely'],
2480,2517,2012-12-23,Kings,sore lower back (DNP),Francisco Garcia,2012-12-23,2012,"['sore', 'lower', 'back', '(', 'dnp', ')']",['back'],['sore'],['dnp'],
2485,2522,2012-12-23,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-23,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2495,2532,2012-12-26,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-26,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2516,2553,2012-12-29,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2012-12-29,2012,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2529,2566,2012-12-31,Magic,bruised right thigh (DNP),Gustavo Ayon,2012-12-31,2012,"['bruised', 'right', 'thigh', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2534,2571,2013-01-01,Kings,sprained left ankle (DNP),Marcus Thornton ,2013-01-01,2013,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2541,2578,2013-01-02,Bulls,flu (DNP),Vladimir Radmanovic,2013-01-02,2013,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
2542,2579,2013-01-02,Celtics,sprained right ankle (DNP),Kris Joseph,2013-01-02,2013,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],josepkr01
2546,2583,2013-01-02,Kings,sprained left ankle (DNP),Marcus Thornton ,2013-01-02,2013,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2551,2588,2013-01-02,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-02,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2557,2594,2013-01-03,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-03,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2565,2602,2013-01-04,Kings,sprained left ankle (DNP),Marcus Thornton ,2013-01-04,2013,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2576,2613,2013-01-05,Kings,sprained left ankle (DNP),Marcus Thornton ,2013-01-05,2013,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2579,2616,2013-01-05,Magic,bruised right thigh (DNP),Gustavo Ayon,2013-01-05,2013,"['bruised', 'right', 'thigh', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2582,2619,2013-01-05,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-05,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2591,2628,2013-01-07,Magic,bruised right thigh (DNP),Gustavo Ayon,2013-01-07,2013,"['bruised', 'right', 'thigh', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2594,2631,2013-01-07,Wizards,right knee tendinitis (DNP),Nene Hilario ,2013-01-07,2013,"['right', 'knee', 'tendinitis', '(', 'dnp', ')']","['right', 'knee']",['tendinitis'],['dnp'],
2600,2637,2013-01-08,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-08,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2609,2646,2013-01-09,Magic,bruised right thigh (DNP),Gustavo Ayon,2013-01-09,2013,"['bruised', 'right', 'thigh', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2610,2647,2013-01-09,Magic,left hand injury (DTD),Hedo Turkoglu,2013-01-09,2013,"['left', 'hand', 'injury', '(', 'dtd', ')']","['left', 'hand']",['injury'],['dtd'],
2613,2650,2013-01-09,Timberwolves,back spasms (DNP),Jose Barea ,2013-01-09,2013,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
2615,2652,2013-01-09,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-09,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2616,2653,2013-01-10,Cavaliers,surgery on right knee to repair torn muscle,Anderson Varejao,2013-01-10,2013,"['surgery', 'on', 'right', 'knee', 'to', 'repair', 'torn', 'muscle']","['right', 'knee']","['surgery', 'torn']",[],
2625,2662,2013-01-11,Nets,illness (DNP),Mirza Teletovic,2013-01-11,2013,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
2627,2664,2013-01-11,Timberwolves,back spasms (DNP),Jose Barea ,2013-01-11,2013,"['back', 'spasms', '(', 'dnp', ')']",['back'],['spasms'],['dnp'],
2630,2667,2013-01-11,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-11,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2631,2668,2013-01-11,Warriors,strained right groin (DNP),Andris Biedrins,2013-01-11,2013,"['strained', 'right', 'groin', '(', 'dnp', ')']","['right', 'groin']",['strained'],['dnp'],
2634,2671,2013-01-12,Magic,bruised right thigh (DNP),Gustavo Ayon,2013-01-12,2013,"['bruised', 'right', 'thigh', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2636,2673,2013-01-12,Timberwolves,surgery on right knee and right hip (out for season) (date approximate),Malcom Lee,2013-01-12,2013,"['surgery', 'on', 'right', 'knee', 'and', 'right', 'hip', '(', 'out', 'for', 'season', ')', '(', 'date', 'approximate', ')']","['right', 'knee', 'right', 'hip']",['surgery'],['season'],
2644,2681,2013-01-13,Timberwolves,hyperextended right knee (DNP),Malcom Lee,2013-01-13,2013,"['hyperextended', 'right', 'knee', '(', 'dnp', ')']","['right', 'knee']",['hyperextended'],['dnp'],
2645,2682,2013-01-13,Warriors,strained right groin (DNP),Andris Biedrins,2013-01-13,2013,"['strained', 'right', 'groin', '(', 'dnp', ')']","['right', 'groin']",['strained'],['dnp'],
2648,2685,2013-01-14,Spurs,strained left hamstring (out indefinitely),Manu Ginobili,2013-01-14,2013,"['strained', 'left', 'hamstring', '(', 'out', 'indefinitely', ')']","['left', 'hamstring']",['strained'],['indefinitely'],
2663,2700,2013-01-17,Timberwolves,recovering from surgery on right knee and right hip,Malcom Lee,2013-01-17,2013,"['recovering', 'from', 'surgery', 'on', 'right', 'knee', 'and', 'right', 'hip']","['right', 'knee', 'right', 'hip']",['surgery'],[],
2669,2706,2013-01-18,Pacers,illness (DNP),Gerald Green ,2013-01-18,2013,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
2676,2713,2013-01-19,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,2013-01-19,2013,"['bruised', 'right', 'quadricep', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2681,2718,2013-01-21,Cavaliers,blood clot in right lung (out for season),Anderson Varejao,2013-01-21,2013,"['blood', 'clot', 'in', 'right', 'lung', '(', 'out', 'for', 'season', ')']","['blood', 'right']",[],['season'],
2686,2723,2013-01-21,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,2013-01-21,2013,"['bruised', 'right', 'quadricep', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2698,2735,2013-01-23,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,2013-01-23,2013,"['bruised', 'right', 'quadricep', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2705,2742,2013-01-25,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,2013-01-25,2013,"['bruised', 'right', 'quadricep', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2713,2750,2013-01-26,Timberwolves,bruised right quadricep (DNP),Nikola Pekovic,2013-01-26,2013,"['bruised', 'right', 'quadricep', '(', 'dnp', ')']",['right'],['bruised'],['dnp'],
2717,2755,2013-01-28,Grizzlies,sprained left ankle (DNP),Mike Conley Jr.,2013-01-28,2013,"['sprained', 'left', 'ankle', '(', 'dnp', ')']","['left', 'ankle']",['sprained'],['dnp'],
2738,2776,2013-01-30,Raptors,left knee tendinitis (DNP),Mickael Pietrus,2013-01-30,2013,"['left', 'knee', 'tendinitis', '(', 'dnp', ')']","['left', 'knee']",['tendinitis'],['dnp'],
2757,2795,2013-02-02,Blazers,sprained right ankle (DNP),Wes Matthews Jr.,2013-02-02,2013,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
2769,2807,2013-02-02,Spurs,sore left hamstring (DNP),Manu Ginobili,2013-02-02,2013,"['sore', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['sore'],['dnp'],
2807,2845,2013-02-06,Magic,flu-like symptoms (DNP),Hedo Turkoglu,2013-02-06,2013,"['flu-like', 'symptoms', '(', 'dnp', ')']",[],[],['dnp'],
2811,2849,2013-02-06,Spurs,sore left hamstring (DNP),Manu Ginobili,2013-02-06,2013,"['sore', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['sore'],['dnp'],
2825,2863,2013-02-08,Magic,flu (DNP),Hedo Turkoglu,2013-02-08,2013,"['flu', '(', 'dnp', ')']",[],['flu'],['dnp'],
2830,2868,2013-02-08,Spurs,sore left hamstring (DNP),Manu Ginobili,2013-02-08,2013,"['sore', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['sore'],['dnp'],
2838,2876,2013-02-10,Magic,sore back (DNP),Hedo Turkoglu,2013-02-10,2013,"['sore', 'back', '(', 'dnp', ')']",['back'],['sore'],['dnp'],
2841,2879,2013-02-10,Spurs,sore left hamstring (DNP),Manu Ginobili,2013-02-10,2013,"['sore', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['sore'],['dnp'],
2844,2882,2013-02-10,Timberwolves,left foot injury (DNP),Jose Barea ,2013-02-10,2013,"['left', 'foot', 'injury', '(', 'dnp', ')']","['left', 'foot']",['injury'],['dnp'],
2852,2890,2013-02-11,Spurs,sore left hamstring (DNP),Manu Ginobili,2013-02-11,2013,"['sore', 'left', 'hamstring', '(', 'dnp', ')']","['left', 'hamstring']",['sore'],['dnp'],
2928,2966,2013-03-02,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-02,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
2941,2979,2013-03-04,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-04,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
2953,2991,2013-03-06,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-06,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
2969,3007,2013-03-09,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-09,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
2982,3020,2013-03-10,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-10,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
2995,3033,2013-03-12,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-12,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
3003,3041,2013-03-13,Rockets,sprained right ankle (DNP),Tim Ohlbrecht,2013-03-13,2013,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
3006,3044,2013-03-13,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-13,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
3014,3052,2013-03-15,Rockets,sprained right ankle (DNP),Tim Ohlbrecht,2013-03-15,2013,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
3018,3056,2013-03-15,Timberwolves,abdominal strain (DNP),Nikola Pekovic,2013-03-15,2013,"['abdominal', 'strain', '(', 'dnp', ')']",[],[],['dnp'],
3023,3061,2013-03-16,Grizzlies,migraine headache (DNP),Tony Wroten Jr.,2013-03-16,2013,"['migraine', 'headache', '(', 'dnp', ')']",[],['headache'],['dnp'],
3052,3090,2013-03-20,Magic,illness/concussion (DNP),Nikola Vucevic,2013-03-20,2013,"['illness/concussion', '(', 'dnp', ')']",[],[],['dnp'],
3061,3099,2013-03-22,Magic,concussion (DNP),Nikola Vucevic,2013-03-22,2013,"['concussion', '(', 'dnp', ')']",[],['concussion'],['dnp'],
3064,3102,2013-03-22,Rockets,sprained ankle (DNP),Tim Ohlbrecht,2013-03-22,2013,"['sprained', 'ankle', '(', 'dnp', ')']",['ankle'],['sprained'],['dnp'],
3085,3123,2013-03-24,Rockets,illness (DNP),Francisco Garcia,2013-03-24,2013,"['illness', '(', 'dnp', ')']",[],['illness'],['dnp'],
3086,3124,2013-03-24,Rockets,sprained right ankle (DNP),Tim Ohlbrecht,2013-03-24,2013,"['sprained', 'right', 'ankle', '(', 'dnp', ')']","['right', 'ankle']",['sprained'],['dnp'],
